Acteurs;Rôle/Positions adoptées;Importance relative;Productions;Formes de légitimité, types d'intérêt, de stratégie et de justification;Dates importantes
Comité d'éthique du CNRS (COMETS); - Fait des recommandations sur des questions proposées par le Conseil d’administration, le Conseil scientifique ou le Directeur général du CNRS                                                                                 - Prône un droit de la robotique à part entière, afin d'éviter la confusion; Importance relative moindre puisque ce comité ne touche que le CNRS, et ses publications ne sont donc pas prises en compte par les organisations législatives et exécutives; - Rapport : Pour une éthique de la recherche en Sciences et Technologies de l’Information et de la Communication (STIC) (novembre 2009); - instance consultative indépendante auprès du Conseil d'administration du CNRS, donc une légitimité moindre vu qu'il prend parti pour la recherche; - Création: 1994                                        - Publication du rapport 
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
